iter	Passed	Remaining
0	3	620
1	6	597
2	8	570
3	11	573
4	14	553
5	16	543
6	19	550
7	23	561
8	26	554
9	28	548
10	32	551
11	35	548
12	37	539
13	40	534
14	42	527
15	45	522
16	48	519
17	51	517
18	53	513
19	56	508
20	59	505
21	62	502
22	65	502
23	67	497
24	70	492
25	72	487
26	75	483
27	78	480
28	81	481
29	84	477
30	86	473
31	89	469
32	92	466
33	94	461
34	97	457
35	99	453
36	101	448
37	103	443
38	106	438
39	108	433
40	110	429
41	113	427
42	116	426
43	119	422
44	121	419
45	124	415
46	126	411
47	129	408
48	131	405
49	133	401
50	136	398
51	138	394
52	141	391
53	143	388
54	146	385
55	148	382
56	151	379
57	153	375
58	156	373
59	159	371
60	161	368
61	164	366
62	166	362
63	169	359
64	171	357
65	175	355
66	177	352
67	180	349
68	182	346
69	184	343
70	187	340
71	189	337
72	192	334
73	194	331
74	197	328
75	199	325
76	201	322
77	204	319
78	206	316
79	211	316
80	213	314
81	216	311
82	219	309
83	222	306
84	225	304
85	228	302
86	231	300
87	234	298
88	237	295
89	240	293
90	242	290
91	245	288
92	248	285
93	250	282
94	253	280
95	255	277
96	258	274
97	260	271
98	262	267
99	264	264
100	267	261
101	270	259
102	273	257
103	275	254
104	277	251
105	280	248
106	282	245
107	285	243
108	287	240
109	290	237
110	292	234
111	295	232
112	297	229
113	300	226
114	303	224
115	306	221
116	308	218
117	311	216
118	313	213
119	316	210
120	318	208
121	321	205
122	323	202
123	325	199
124	328	196
125	330	194
126	333	191
127	335	188
128	338	186
129	340	183
130	343	180
131	345	178
132	348	175
133	351	173
134	353	170
135	356	167
136	359	165
137	361	162
138	364	159
139	366	157
140	369	154
141	373	152
142	376	150
143	380	147
144	382	145
145	385	142
146	387	139
147	390	137
148	392	134
149	395	131
150	399	129
151	401	126
152	403	124
153	406	121
154	408	118
155	411	116
156	414	113
157	417	111
158	420	108
159	423	105
160	427	103
161	432	101
162	435	98
163	438	96
164	442	93
165	445	91
166	448	88
167	451	86
168	455	83
169	459	81
170	462	78
171	465	75
172	469	73
173	472	70
174	475	67
175	478	65
176	482	62
177	485	59
178	488	57
179	491	54
180	495	51
181	499	49
182	502	46
183	506	44
184	509	41
185	513	38
186	517	35
187	520	33
188	523	30
189	527	27
190	529	24
191	532	22
192	535	19
193	538	16
194	540	13
195	543	11
196	545	8
197	548	5
198	551	2
199	553	0
